Index,Data available as of 15 Jauary 2014?,Data.Downloaded,CatalogID,LocID,iso.code,CountryName.UN,CountryName.DHS,StartYear,EndYear,Type,Phase,Recode,SurveyName,ShortName,Survey code,Name for labels,StartDate,EndDate,RefDate,ImplementingOrg,OfficialName,Births.Recode,Births.Raw,Couples.Recode,HH.Recode,HH.Raw,Height/WeightScores,Individual.Recode,Individual.Raw,Childrens.Recode,Childrens.Raw,Male.Recode,Male.Raw,HHMember.Recode,HHMember.Raw,Verbal.Autopsy,HIVTestData,Other Biomarkers,Wealth.Index,Service.Availability,Other,Download notes,Sample.Type.Female,Sample.Type.Male,Sample.Size.HH,Sample.Size.Female,Sample.Size.Male,Sample.Age.Female,Sample.Age.Male,Deaths.HH,Deaths.Causes,Verbal.Autopsy,Sibling.Female,Sibling.Male,Orphanhood.Female,Orphanhood.Male,Pregnancy.History,Health.Expenditures,Maternal.Mortality,Micronutrients,Migration,AIDS.Test,Geography,Availability,Child mort processed,Child mort indirect only,Siblings processed,PregRelCode,PregRelCode notes,Status,Survey Characteristics,Updated by,Updated on,Notes,Report citation
410,Yes,Y,172,116,KHM,Cambodia,Cambodia,1998,1998,Special,DHS-III,,Cambodia 1998 National Health Survey,1998 NHS,,Cambodia 1998 NHS,15/05/1998,15/07/1998,14/06/1998,SAWA Cam./Nat. Inst. of Public Health,,NA,NA,NA,NA,khhh31,NA,khig31,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,All Women,None,5931,7630,NA,15 to 49,NA,,,N,N,N,,,,,N,,,,,,NA,,NA,,,,,,,,
420,Yes,Y,1825,116,KHM,Cambodia,Cambodia,2000,2000,Standard DHS,DHS-IV,DHS-IV,Cambodia 2000 Demographic and Health Survey,2000 DHS,kh42,Cambodia 2000 DHS,01/01/2000,31/07/2000,16/04/2000,Nat. Inst. of Statistics/Min of Health,,khbr42,NA,NA,khhr42,NA,khhw42,khir42,NA,khkr42,NA,NA,NA,khpr42,NA,NA,NA,,khwi41,NA,,,All Women,None,12236,15351,NA,15 to 49,NA,,,N,Y,NA,,,,,Y,,,,Y,,Y,,Y,2;3;6,,,,,,,
430,Yes,Y,1812,116,KHM,Cambodia,Cambodia,2005,2005,Standard DHS,DHS-V,DHS-V,Cambodia 2005 Demographic and Health Survey,2005 DHS,kh50,Cambodia 2005 DHS,08/09/2005,07/03/2006,07/12/2005,Ministry of Planning/National Institute of Statist,,khbr51,NA,khcr51,khhr51,NA,khhw51,khir51,NA,khkr51,NA,khmr51,NA,khpr51,NA,NA,khar51,,NA,NA,,,All Women,All Men,14243,16823,6731,15 to 49,15 to 49,,,N,Y,N,,,,,Y,,,Y,Y,,Y,,Y,2;3;6,,,,,,,
440,Yes,Y,4951,116,KHM,Cambodia,Cambodia,2010,2010,Standard DHS,DHS-VI,DHS-V,Cambodia 2010 Demographic and Health Survey,2010 DHS,kh61,Cambodia 2010 DHS,23/07/2010,19/01/2011,21/10/2010,National Institute of Statistics,,khbr61,NA,NA,khhr61,NA,NA,khir61,NA,khkr61,NA,khmr61,NA,khpr61,NA,NA,NA,,NA,NA,,,All Women,All Men,15667,18754,8239,15 to 49,15 to 49,,,N,Y,N,,,,,Y,,,,Y,,Y,,Y,2;3;5,,,,,,,
450,Yes,Y,5566,116,KHM,Cambodia,Cambodia,2014,2014,Standard DHS,DHS-VII,DHS-VI,Cambodia 2014 Demographic and Health Survey,2014 DHS,kh73,Cambodia 2014 DHS,01/06/2014,02/12/2014,01/09/2014,National Institute of Statistics,,khbr73,NA,khcr73,khhr73,NA,NA,khir73,NA,khkr73,NA,khmr73,NA,khpr73,NA,NA,NA,,NA,NA,,,All Women,All Men,15825,17578,5190,15 to 49,15 to 49,,,N,YY,N,,,,,Y,,,Y,,,Y,,Y,2;3;6,,,,SK,"July 28, 2017",Corrections have been made to the Individual Recode data file (KHIR72). The following variables were changed in the new version of the data (KHIR73): V625 Eposure (definition 2); V626 Unmet need (definition 2) ,"National Institute of Statistics, Directorate General for Health, and ICF International (2015). Cambodia Demographic and Health Survey 2014. Phnom Penh, Cambodia, and Rockville, Maryland, USA: National Institute of Statistics, Directorate General for Health, and ICF International."
460,Yes,Y,1798,120,CMR,Cameroon,Cameroon,1991,1991,Standard DHS,DHS-II,DHS-II,Cameroon 1991 Demographic and Health Survey,1991 DHS,cm22,Cameroon 1991 DHS,17/04/1991,03/10/1991,10/07/1991,Min. du Plan et de l’Amén. du Terr.,Enquête démographique et de santé,cmbr22,NA,cmcr21,cmhr22,NA,cmhw22,cmir22,NA,cmkr21,NA,cmmr21,NA,cmpr22,NA,NA,NA,,cmwi22,cmsq21,,"service availability is ""raw""",All Women,Husbands,3538,3871,814,15 to 49,NA,,,N,N,N,,,,,N,,,,Y,,Y,,NA,,,,,,,,
470,Yes,Y,1674,120,CMR,Cameroon,Cameroon,1998,1998,Standard DHS,DHS-III,DHS-III,Cameroon 1998 Demographic and Health Survey,1998 DHS,cm31,Cameroon 1998 DHS,03/02/1998,05/07/1998,20/04/1998,Bur. Cen. Recensements et Etudes de Prop.,Enquête démographique et de santé,cmbr31,NA,cmcr31,cmhr31,cmhr344,cmhw31,cmir31,NA,cmkr31,NA,cmmr31,NA,cmpr31,NA,NA,NA,,cmwi31,NA,,,All Women,All Men,4697,5501,2562,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,,,,Y,,Y,2;3;6,,,,,,,
480,Yes,Y,1786,120,CMR,Cameroon,Cameroon,2004,2004,Standard DHS,DHS-IV,DHS-IV,Cameroon 2004 Demographic and Health Survey,2004 DHS,cm43,Cameroon 2004 DHS,23/02/2004,19/09/2004,06/06/2004,Institut National de la Statistique,Enquête démographique et de santé,cmbr44,NA,cmcr44,cmhr44,NA,cmhw44,cmir44,NA,cmkr44,NA,cmmr44,NA,cmpr45,NA,NA,cmar42,,NA,NA,,,All Women,All Men,10462,10656,5280,15 to 49,15 to 59,,,N,Y,Y,,,,,Y,,,Y,Y,,Y,,Y,2;3;6,,,,,,,
490,Yes,Y,,120,CMR,Cameroon,Cameroon,2011,2011,Standard DHS,DHS-VI,DHS-VI,Cameroon 2011 Demographic and Health Survey,2011 DHS,,Cameroon 2011 DHS,15/01/2011,15/08/2011,01/05/2011,Institut National de la Statistique (INS),,cmbr60,NA,cmcr60,cmhr60,NA,NA,cmir60,NA,cmkr60,NA,cmmr60,NA,cmpr60,NA,NA,cmar61,,NA,NA,,,All Women,All Men,14214,15426,7191,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,Y,Y,,N,,Y,2;3;6,,,,,,,
500,Yes,Y,4686,120,CMR,Cameroon,Cameroon,2011,2011,Standard DHS,DHS-VI,DHS-VI,Cameroon 2011 Demographic and Health Survey,2011 DHS,cm61,Cameroon 2011 DHS,16/01/2011,16/08/2011,02/05/2011,Institut National de la Statistique (INS),,cmbr61,NA,cmcr61,cmhr61,NA,NA,cmir61,NA,cmkr61,NA,cmmr61,NA,cmpr61,NA,NA,cmar61,,NA,NA,,,All Women,All Men,14214,15426,7191,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,Y,Y,,N,,Y,2;3;6,,,,SK,31-Mar-17,"The difference between Version 60 and Version 61 is mostly documentation - written notes and concise labeling of variables. Nothing that is used to calculate major indicators like mortality, fertility, family planning, and the like, nor any of the weights were changed.",
510,Not in public domain,N,2942,132,CPV,Cape Verde,Cape Verde,2005,2005,Standard DHS,DHS-IV,,Cape Verde 2005 Demographic and Health Survey,2005 DHS,,Cabo Verde 2005 DHS,18/07/2005,15/11/2005,16/09/2005,,,,,,,,,,,,,,,,,,,,,,,Country is in drop down list but nothing appears when selected.,All Women,All Men,5712,5505,2644,15 to 49,15 to 59,,,N,N,N,,,,,N,,,,,not in public domain,N - DATA NOT IN PUBLIC DOMAIN,,NA,,,,,,,,
520,Yes,Y,1732,140,CAF,Central African Republic,CAR,1994,1995,Standard DHS,DHS-III,DHS-III,Central African Republic 1994-1995 Demographic and Health Survey,1994-1995 DHS,cf31,Central African Republic 1994-1995 DHS,06/09/1994,11/03/1995,08/12/1994,Dir. des Stat. Dém. et Sociales,Enquête démographique et de santé,cfbr31,NA,cfcr31,cfhr31,NA,cfhw31,cfir31,NA,cfkr31,NA,cfmr31,NA,cfpr31,cfpr31,NA,NA,,cfwi31,cfsq33,,"service availability is ""raw""",All Women,All Men,5551,5884,1729,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,,,,Y,,Y,2;3;5,,,,,,,
530,Yes,Y,1675,148,TCD,Chad,Chad,1996,1997,Standard DHS,DHS-III,DHS-III,Chad 1996-1997 Demographic and Health Survey,1996-1997 DHS,td31,Chad 1996-1997 DHS,03/12/1996,23/07/1997,29/03/1997,Bureau Central du Recensement,Enquête démographique et de santé,tdbr31,NA,tdcr31,tdhr31,NA,tdhw31,tdir31,NA,tdkr31,NA,tdmr31,NA,tdpr31,tdpr31,NA,NA,,tdwi31,tdsg32,,"service availability is ""raw""",All Women,All Men,6840,7454,2320,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,,,,Y,,Y,2;3;6,,,,,,,
540,Yes,Y,1762,148,TCD,Chad,Chad,2004,2004,Standard DHS,DHS-IV,DHS-IV,Chad 2004 Demographic and Health Survey,2004 DHS,td41,Chad 2004 DHS,23/07/2004,10/12/2004,01/10/2004,"Inst. de la Statistique, des études éco. démogra.",Enquête démographique et de santé,tdbr41,NA,tdcr41,tdhr41,NA,tdhw41,tdir41,NA,tdkr41,NA,tdmr41,NA,tdpr41,NA,NA,NA,,NA,tdsq41,,"service availability is ""raw""",All Women,All Men,5369,6085,1887,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,,,,Y,,Y,2;3;6,,,,,,,
550,Yes,Y,5564,148,TCD,Chad,Chad,2014,2014,Standard DHS,DHS-VII,DHS-VI,Chad 2014 Demographic and Health Survey,2014 DHS,td71,Chad 2014 DHS,24/10/2014,10/04/2015,16/01/2015,"Institut National de la Statistique, des Études Économique et Démographiques (INSEED)",Enquête Démographique et de Santé et à Indicateurs Multiples au Tchad (EDS-MICS),tdbr71,NA,tdcr71,tdhr71,NA,NA,tdir71,NA,tdkr71,NA,tdmr71,NA,tdpr71,NA,NA,NA,,NA,NA,,"service availability is ""raw""",All Women,All Men,17233,17719,5248,15 to 49,15 to 59,,,N,YY,N,,,,,Y,,,Y,N,,Y,,Y,2;3;6,,,,SK,"November 17, 2016",,"Institut National de la Statistique, des Études Économiques et Démographiques (INSEED), Ministère de la Santé Publique (MSP) et ICF International, 2014-2015. Enquête Démographique et de Santé et à Indicateurs Multiples (EDS-MICS 2014-2015). Rockville, Maryland, USA : INSEED, MSP et ICF International."
560,Yes,Y,1712,170,COL,Colombia,Colombia,1986,1986,Standard DHS,DHS-I,DHS-I,Colombia 1986 Demographic and Health Survey,1986 DHS,co01,Colombia 1986 DHS,29/09/1986,05/12/1986,01/11/1986,Corp. Cen. Reg. de Prb./Min. de Salud,"Encuesta de Prevalencia, Demografía y Salud",cobr01,NA,NA,NA,cohh02,cohw01,coir01,NA,cokr01,NA,NA,NA,NA,NA,NA,NA,,NA,cosq01,,"service availability is ""raw""",All Women,None,4273,5329,NA,15 to 49,NA,,,N,N,N,,,,,N,,,,,,Y,,NA,,,,,,,,
570,Yes,Y,1860,170,COL,Colombia,Colombia,1990,1990,Standard DHS,DHS-II,DHS-II,Colombia 1990 Demographic and Health Survey,1990 DHS,co22,Colombia 1990 DHS,01/05/1990,22/08/1990,26/06/1990,PROFAMILIA,"Encuesta de Prevalencia, Demografía y Salud",cobr22,NA,NA,cohr22,NA,NA,coir22,NA,cokr22,NA,NA,NA,copr22,NA,NA,NA,,cowi22,NA,,,All Women,None,7412,8644,NA,15 to 49,NA,,,N,N,N,,,,,N,,,,,,Y,,NA,,,,,,,,
580,Yes,Y,1862,170,COL,Colombia,Colombia,1995,1995,Standard DHS,DHS-III,DHS-III,Colombia 1995 Demographic and Health Survey,1995 DHS,co31,Colombia 1995 DHS,29/03/1995,16/07/1995,22/05/1995,PROFAMILIA,Encuesta Nacional de Demografía y Salud,cobr31,NA,NA,cohr31,NA,cohw31,coir31,NA,cokr31,NA,NA,NA,copr31,NA,NA,NA,,cowi31,NA,,,All Women,None,10112,11140,NA,15 to 49,NA,,,N,N,N,,,,,N,,,,,,Y,,NA,,,,,,,,
590,Yes,Y,1861,170,COL,Colombia,Colombia,2000,2000,Standard DHS,DHS-IV,DHS-IV,Colombia 2000 Demographic and Health Survey,2000 DHS,co41,Colombia 2000 DHS,28/02/2000,08/06/2000,18/04/2000,PROFAMILIA,Encuesta Nacional de Demografía y Salud,cobr41,NA,NA,cohr41,NA,cohw41,coir41,NA,cokr41,NA,NA,NA,copr41,NA,NA,NA,,cowi41,NA,,,All Women,None,10907,11585,NA,15 to 49,NA,,,N,N,N,,,,,N,,,,,,Y,,NA,,,,,,,,
600,Yes,Y,1859,170,COL,Colombia,Colombia,2005,2005,Standard DHS,DHS-V,DHS-IV,Colombia 2005 Demographic and Health Survey,2005 DHS,co51,Colombia 2005 DHS,07/10/2004,30/06/2005,17/02/2005,Profamilia,Encuesta Nacional de Demografía y Salud,cobr53,NA,NA,cohr53,NA,cohw51,coir53,NA,cokr53,NA,NA,NA,copr53,NA,NA,NA,,NA,NA,,,All Women,None,37211,41344,NA,13 to 49,NA,,,N,N,N,,,,,N,,,,,,Y,,NA,,,,,,,,
610,Yes,Y,4945,170,COL,Colombia,Colombia,2010,2010,Standard DHS,DHS-VI,DHS-V,Colombia 2010 Demographic and Health Survey,2010 DHS,co60,Colombia 2010 DHS,14/11/2009,24/12/2010,04/06/2010,PROFAMILIA,,cobr61,NA,NA,cohr61,NA,NA,coir61,NA,cokr61,NA,NA,NA,copr61,NA,NA,NA,,NA,NA,cood61,"other data: cood61, which includes citologia.dta and teredad.dta",All Women,None,51447,53521,NA,13 to 49,NA,,,N,N,N,,,,,N,,,,Y,,Y,,NA,,,,,,,,
620,Yes,Y,5788,170,COL,Colombia,Colombia,2015,2016,Standard DHS,DHS-VII,DHS-VII,Colombia 2015 Demographic and Health Survey,2015 DHS,co71,Colombia 2015DHS,28/01/2015,28/03/2016,28/08/2015,PROFAMILIA,,cobr71,NA,cocr71,cohr71,NA,NA,coir71,NA,cokr71,NA,comr71,NA,copr71,NA,NA,NA,,NA,NA,,,All Women,All Men,44614,38718,35783,13 to 49,13 to 59,,,N,N,N,,,,,N,,,,Y,,Y,,NA,,,,,SK,"Apr 21, 2017",,
630,Yes,Y,1707,174,COM,Comoros,Comoros,1996,1996,Standard DHS,DHS-III,DHS-III,Comoros 1996 Demographic and Health Survey,1996 DHS,km32,Comoros 1996 DHS,19/03/1996,13/06/1996,01/05/1996,Centre Nat. de Doc. et de Rech. Sci.,Enquête démographique et de santé,kmbr32,NA,kmcr31,kmhr32,NA,kmhw32,kmir32,NA,kmkr31,NA,kmmr31,NA,kmpr32,NA,NA,NA,,kmwi32,NA,,,All Women,All Men,2252,3050,795,15 to 49,15 to 64,,,N,N,N,,,,,N,,,,,,Y,,NA,,,,,,,,
640,Yes,Y,5459,174,COM,Comoros,Comoros,2012,2012,Standard DHS,DHS-VI,DHS-VI,Comoros 2012 Demographic and Health Survey,2012 DHS,km61,Comoros 2012 DHS,02/08/2012,27/12/2012,15/10/2012,,,kmbr61,,kmcr61,kmhr61,,,kmir61,,kmkr61,,kmmr61,,kmpr61,,,,,,,,downloaded 20 Fem 2015,All Women,All Men,5000,6500,3100,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,,,not yet available,N,,Y,2;3;6,6=two months after delivery,,,,,,
650,Yes,Y,1709,178,COG,Congo,Congo (Brazzaville),2005,2005,Standard DHS,DHS-V,DHS-V,Congo 2005 Demographic and Health Survey,2005 DHS,cg50,Congo 2005 DHS,08/07/2005,23/11/2005,15/09/2005,Centre National de la Statistique et des Etudes Ec,Enquête démographique et de santé,cgbr51,NA,cgcr51,cghr51,NA,cghw51,cgir51,NA,cgkr51,NA,cgmr51,NA,cgpr51,NA,NA,NA,,NA,NA,,,All Women,All Men,5879,7051,3146,15 to 49,15 to 59,,,N,Y,Y,,,,,Y,,,,,,Y,,Y,2;3;6,,,,,,,
660,Yes,Y,4946,178,COG,Congo,Congo (Brazzaville),2009,2009,Standard AIS,DHS-V,DHS-V,Congo 2009 AIDS Indicator Survey,2009 DHS,cgir5h,Congo 2009 AIS,15/03/2009,15/06/2009,30/04/2009,Centre National de la Statistique et des Etudes Economiques - See more at: http://dhsprogram.com/what-we-do/survey/survey-display-370.cfm#sthash.ewXBVngl.dpuf,,NA,NA,NA,cghr5h,NA,NA,cgir5h,NA,NA,NA,NA,NA,cgpr5h,NA,NA,cgar5h,,NA,NA,,"NO .dta file for HIV test data, only .dat file",All Women,All Men,7096,6550,5863,15 to 49,15 to 49,,,N,N,N,,,,,N,,,Y,,no birth recode file,Y,Y,NA,,,,,,,,
670,Yes,Y,5050,178,COG,Congo,Congo (Brazzaville),2011,2012,Standard DHS,DHS-V,DHS-V,Congo 2011-12 Demographic and Health Survey,2011 DHS,cg60,Congo 2011 DHS,10/09/2011,11/02/2012,26/11/2011,Centre National de la Statistique et des Etudes Ec,Enquête démographique et de santé,cgbr60,NA,cgcr60,cghr60,NA,NA,cgir60,NA,cgkr60,NA,cgmr60,NA,cgpr60,NA,NA,NA,NA,NA,NA,NA,,All Women,All Men,11632,10819,5145,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,,,,N - NOT YET AVAILABLE,,Y,2;3;6,,,,,,,
680,Yes,Y,1779,384,CIV,Cote dIvoire,Cote dIvoire,1994,1994,Standard DHS,DHS-III,DHS-III,Cote dIvoire 1994 Demographic and Health Survey,1994 DHS,ci35,Cote dIvoire 1994 DHS,09/06/1994,29/11/1994,03/09/1994,Inst. Nat. de la Statistique,Enquête démographique et de santé,cibr35,NA,cicr35,cihr35,NA,cihw35,ciir35,NA,cikr35,NA,cimr33,NA,cipr35,NA,NA,NA,,ciwi34,cisq33,,,All Women,All Men,5935,8099,2552,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,,Y,,Y,,Y,2;3;6,,,,,,,
690,Yes,Y,1778,384,CIV,Cote dIvoire,Cote dIvoire,1998,1999,Standard DHS,DHS-III,DHS-III,Cote dIvoire 1998-1999 Demographic and Health Survey,1998-1999 DHS,ci3a,Cote dIvoire 1998-1999 DHS,04/09/1998,31/03/1999,17/12/1998,Inst. Nat. de la Statistique,Enquête démographique et de santé,cibr3a,NA,cicr3a,cihr3a,NA,cihw3a,ciir3a,NA,cikr3a,NA,cimr3a,NA,cipr3a,NA,NA,NA,,ciwi3a,NA,,,All Women,All Men,2122,3040,886,15 to 49,15 to 59,,,N,N,N,,,,,N,,,,Y,,Y,,NA,,,,,,,,
700,Yes,Y,733,384,CIV,Cote dIvoire,Cote dIvoire,2005,2005,Standard AIS,DHS-V,DHS-V,Cote dIvoire 2005 AIDS Indicator Survey,2005 AIS,ci50,Cote dIvoire 2005 AIS,15/08/2005,15/10/2005,14/09/2005,Inst. Nat. de la Statistique,,cibr50,NA,NA,cihr50,NA,NA,ciir50,NA,cikr50,NA,NA,NA,cipr50,NA,NA,ciar50,,NA,NA,,,All Women,All Men,4368,5183,4503,15 to 49,15 to 49,,,N,Y,N,,,,,Y,,,Y,,,Y,,Y,2;3;6,No male responses to sib questions in ir dataset,,,,,,
710,Yes,Y,4687,384,CIV,Cote dIvoire,Cote dIvoire,2011,2012,Standard DHS,DHS-VI,DHS-VI,Cote dIvoire 2011-2012 Demographic and Health Survey,2011-2012 DHS,ci61,Cote dIvoire 2011 DHS,05/12/2011,30/05/2012,02/03/2012,"Ministère de la Santé et de la Lutte contre le Sida (MSLS), Institut National de la Statistique(INS)",,cibr61,NA,cicr61,cihr61,NA,NA,ciir61,NA,cikr61,NA,cimr61,NA,cipr61,NA,NA,ciar61,NA,NA,NA,,Not available,All Women,All Men,9686,10060,5135,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,Y,Y,not yet available,N - NOT YET AVAILABLE,,Y,2;3;6,,,,,,,
720,Yes,Y,1888,180,COD,Dem. Republic of the Congo,Congo Democratic Republic,2007,2007,Standard DHS,DHS-V,DHS-V,Democratic Republic of the Congo 2007 Demographic and Health Survey,2007 DHS,cd50,Democratic Republic of the Congo 2007 DHS,02/01/2007,13/09/2007,09/05/2007,Under the direction of the Ministry of Planning,,cdbr50,NA,cdcr50,cdhr50,NA,NA,cdir50,NA,cdkr50,NA,cdmr50,NA,cdpr50,NA,NA,cdar50,,NA,NA,,"NO .dta file for HIV test data, only .dat file",All Women,All Men,8886,9995,4757,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,Y,Y,,Y,,Y,2;3;6,,,,,,,
730,Yes,Y,5612,180,COD,Dem. Republic of the Congo,Congo Democratic Republic,2013,2014,Standard DHS,DHS-VI,DHS-VI,Democratic Republic of the Congo 2013-2014 Demographic and Health Survey,2013-2014 DHS,cd61,Democratic Republic of the Congo 2013-2014 DHS,13/08/2013,07/02/2014,10/11/2013,,,cdbr61,NA,cdcr61,cdhr61,NA,NA,cdir61,NA,cdkr61,NA,cdmr61,NA,cdpr61,NA,NA,cdar61,NA,NA,NA,,,All Women,All Men,18171,18827 ,8656,15 to 49,15 to 59,,,N,YY,N,,,,,Y,,,,,,N - NOT YET AVAILABLE,,Y,2;3;6,6=2 months after delivery,,,,,,
740,Yes,Y,5736,214,DOM,Dominican Republic,Dominican Republic,1986,1986,Experimental,DHS-I,,Dominican Republic 1986 Experimental Study,1986 Experimental,,DominicanRepublic 1986 Experimental,14/09/1986,15/12/1986,30/10/1986,Consejo Nacional de Población y Familia,,,,,,,,,,,,,,,,,,,,,drex0bFL.DTA,one file only: drex0bFL.DTA,All Women,None,7152,3885,NA,15 to 49,NA,,,N,N,N,,,,,N,,,,,,NA,,NA,,,,,,,,
750,Yes,Y,1711,214,DOM,Dominican Republic,Dominican Republic,1986,1986,Standard DHS,DHS-I,DHS-I,Dominican Republic 1986 Demographic and Health Survey,1986 DHS,dr01,Dominican Republic 1986 DHS,08/09/1986,10/12/1986,24/10/1986,Consejo Nac. de Población y Familia,Encuesta Demográfica y de Salud,drbr01,NA,NA,NA,drhh01,drhw01,drir01,NA,drkr01,NA,NA,NA,NA,NA,NA,NA,,NA,drsq01,,,All Women,None,7152,7649,NA,15 to 49,NA,,,N,N,N,,,,,N,,,,,,Y,,NA,,,,,,,,
760,Yes,Y,1671,214,DOM,Dominican Republic,Dominican Republic,1991,1991,Standard DHS,DHS-II,DHS-II,Dominican Republic 1991 Demographic and Health Survey,1991 DHS,dr21,Dominican Republic 1991 DHS,19/07/1991,18/11/1991,18/09/1991,Assoc. Domin. Pro-Bienestar de la Fam.,Encuesta Demográfica y de Salud,drbr21,NA,NA,drhr21,NA,drhw21,drir21,NA,drkr21,NA,NA,NA,drpr21,NA,NA,NA,,NA,drsq23,,,All Women,None,7144,7320,NA,15 to 49,NA,,,N,N,N,,,,,N,,,,,,Y,,NA,,,,,,,,
770,Yes,Y,1685,214,DOM,Dominican Republic,Dominican Republic,1996,1996,Standard DHS,DHS-III,DHS-III,Dominican Republic 1996 Demographic and Health Survey,1996 DHS,dr32,Dominican Republic 1996 DHS,04/09/1996,18/12/1996,26/10/1996,Cen. Estud. Soc. y Dem./PROFAMILIA,Encuesta Demográfica y de Salud,drbr32,NA,drcr31,drhr32,NA,drhw32,drir32,NA,drkr31,NA,drmr31,NA,drpr32,NA,NA,NA,,drwi32,NA,,,All Women,All Men,8831,8422,2279,15 to 49,15 to 64,,,N,N,N,,,,,N,,,,,,Y,,N - NONSTANDARD IR FILE,,,,,,,,
780,Yes,Y,1684,214,DOM,Dominican Republic,Dominican Republic,1999,1999,Standard DHS,DHS-IV,DHS-IV,Dominican Republic 1999 Demographic and Health Survey,1999 DHS,drcr41,Dominican Republic 1999 DHS,31/08/1999,06/12/1999,18/10/1999,Cen. Estud. Soc. y Dem. (CESDEM),Encuesta Experimental de Demografía y Salud,drbr41,NA,drcr41,drhr41,NA,NA,drir41,NA,drkr41,NA,drmr41,NA,drpr41,NA,NA,NA,,drwi41,NA,,,All Women,All Men,1381,1286,1112,15 to 49,15 to 64,,,N,N,N,,,,,N,,,,,,Y,,NA,,,,,,,,
790,Yes,Y,1710,214,DOM,Dominican Republic,Dominican Republic,2002,2002,Standard DHS,DHS-IV,DHS-IV,Dominican Republic 2002 Demographic and Health Survey,2002 DHS,dr4a,Dominican Republic 2002 DHS,04/07/2002,20/12/2002,26/09/2002,"CESDEM, Centro de Estudios Sociodemograficos",Encuesta Demográfica y de Salud,drbr4a,NA,drcr4a,drhr4a,NA,drhw4a,drir4a,NA,drkr4a,NA,drmr4a,NA,drpr4a,NA,NA,drht4a,,drwi4a,,Expenditure: drxp4e,,All Women,All Men,27135,23384,2833,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,Y,,,Y,,Y,2;3;6,,,,,,,
800,Yes,Y,5051,214,DOM,Dominican Republic,Dominican Republic,2007,2007,Special,DHS-V,DHS-V,Dominican Republic 2007 Special Demographic and Health Survey,2007 Special DHS,dr5a,Dominican Republic 2007 Special DHS,15/07/2007,15/07/2008,14/01/2008,Centro de Estudios Sociales y Demográficos (CESDEM) - See more at: http://dhsprogram.com/what-we-do/survey/survey-display-331.cfm#sthash.dAAygK5H.dpuf,,drbr5a,NA,drcr5a,drhr5a,NA,NA,drir5a,NA,drkr5a,NA,drmr5a,NA,drpr5a,NA,NA,drar5a,,NA,NA,,,All Women,All Men,2540,1575,1820,15 to 49,15 to 59,,,N,N,N,,,,,N,,,Y,,,NA,,NA,,,,,,,,
810,Yes,Y,49,214,DOM,Dominican Republic,Dominican Republic,2007,2007,Standard DHS,DHS-V,DHS-V,Dominican Republic 2007 Demographic and Health Survey,2007 DHS,dr51,Dominican Republic 2007 DHS,01/03/2007,22/08/2007,27/05/2007,Center for Demographic Studies (CESDEM),Encuesta Demográfica y de Salud,drbr52,NA,drcr52,drhr52,NA,NA,drir52,NA,drkr52,NA,drmr52,NA,drpr52,NA,NA,drar51,,NA,NA,,,All Women,All Men,32431,27195,27975,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,Y,Y,,Y,,Y,2;3;6,,,,,,,
820,Yes,Y,5710,214,DOM,Dominican Republic,Dominican Republic,2013,2013,Standard DHS,DHS-VI,DHS-VI,Dominican Republic 2013 Demographic and Health Survey,2013 DHS,dr61,Dominican Republic 2013 DHS,10/07/2013,26/10/2013,02/09/2013,,,,,,drhr61,,,drir61,,drkr61,,drmr61,,drpr61,,,,,,,,,All Women,All Men,11464,9372 ,10306,15 to 49,15 to 59,,,,N,N,,,,,,,,,,not yet available,N - NOT YET AVAILABLE,,,,,,,,,,
830,Yes,Y,1683,218,ECU,Ecuador,Ecuador,1987,1987,Standard DHS,DHS-I,DHS-I,Ecuador 1987 Demographic and Health Survey,1987 DHS,ec01,Ecuador 1987 DHS,01/01/1987,31/03/1987,14/02/1987,Cen. de Estud. de Pob. y Pater. Res.,Encuesta Demográfica y de Salud Familiar,ecbr01,NA,NA,NA,echh01,NA,ecir01,NA,eckr01,NA,NA,NA,NA,NA,NA,NA,,NA,ecsq01,,,All Women,None,4578,4713,NA,15 to 49,NA,,,N,N,N,,,,,N,,,,,,Y,,NA,,,,,SK,"Feb 11, 2016: moved file name ""echh01"" to HH.raw where it belongs.",,
